PSBP ID,Type,Common Name,Scientific Name,Photo Role,Primary,Photographer,License,Publish-OK,Status,Credit Line,Photo URL,Source URL,Photo ID,Filename
PSBP-00001,Plant,Tree Crinum,Crinum asiaticum,primary,Yes,teschaim,cc-by-nc,Yes,OK,© teschaim / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/245580589/large.jpeg,https://www.inaturalist.org/observations/143209347,,PSBP-00001_Tree_Crinum.jpg
PSBP-00002,Plant,Weeping Bottlebrush,Melaleuca viminalis,primary,Yes,kathynoran88,cc-by-nc,Yes,OK,© kathynoran88 / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/382220097/large.jpeg,https://www.inaturalist.org/observations/216138601,,PSBP-00002_Weeping_Bottlebrush.jpg
PSBP-00003,Plant,Buccaneer Palm,Pseudophoenix sargentii,primary,Yes,randall_carter,cc-by-nc,Yes,OK,© randall_carter / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/662239153/large.jpg,https://www.inaturalist.org/observations/362822571,,PSBP-00003_Buccaneer_Palm.jpg
PSBP-00004,Plant,Silk Floss Tree,Ceiba speciosa,primary,Yes,randall_carter,cc-by-nc,Yes,OK,© randall_carter / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/663359491/large.jpg,https://www.inaturalist.org/observations/363408779,,PSBP-00004_Silk_Floss_Tree.jpg
PSBP-00005,Plant,Queen's Crepe Myrtle,Lagerstroemia speciosa,primary,Yes,frankymca,cc-by-nc,Yes,OK,© frankymca / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/662740624/large.jpg,https://www.inaturalist.org/observations/363083104,,PSBP-00005_Queens_Crepe_Myrtle.jpg
PSBP-00006,Plant,Peregrina,Jatropha integerrima,primary,Yes,randall_carter,cc-by-nc,Yes,OK,© randall_carter / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/661606946/large.jpg,https://www.inaturalist.org/observations/362490569,,PSBP-00006_Peregrina.jpg
PSBP-00007,Plant,Jacaranda,Jacaranda mimosifolia,primary,Yes,nigrosh60,cc-by-nc,Yes,OK,© nigrosh60 / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/366864093/large.jpg,https://www.inaturalist.org/observations/207405883,,PSBP-00007_Jacaranda.jpg
PSBP-00008,Plant,Beach Sunflower,Helianthus debilis,primary,Yes,averierob,cc-by-nc,Yes,OK,© averierob / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/68471027/large.jpg,https://www.inaturalist.org/observations/43132326,,PSBP-00008_Beach_Sunflower.jpg
PSBP-00009,Plant,Firewheel,Gaillardia pulchella,primary,Yes,averierob,cc-by-nc,Yes,OK,© averierob / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/68470618/large.jpg,https://www.inaturalist.org/observations/43132146,,PSBP-00009_Firewheel.jpg
PSBP-00010,Plant,Geiger tree,Cordia sebestena,primary,Yes,joanne_walker,cc-by-nc,Yes,OK,© joanne_walker / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/663458572/large.jpg,https://www.inaturalist.org/observations/363460253,,PSBP-00010_Geiger_tree.jpg
PSBP-00011,Plant,Baobab,Adansonia digitata,primary,Yes,randall_carter,cc-by-nc,Yes,OK,© randall_carter / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/662220904/large.jpg,https://www.inaturalist.org/observations/362813369,,PSBP-00011_Baobab.jpg
PSBP-00012,Plant,Peacock Flower,Caesalpinia pulcherrima,primary,Yes,teschaim,cc-by-nc,Yes,OK,© teschaim / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/245519734/large.jpeg,https://www.inaturalist.org/observations/143173704,,PSBP-00012_Peacock_Flower.jpg
PSBP-00013,Plant,Sunshine Mimosa,Mimosa strigillosa,primary,Yes,randall_carter,cc-by-nc,Yes,OK,© randall_carter / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/661720270/large.jpg,https://www.inaturalist.org/observations/362548926,,PSBP-00013_Sunshine_Mimosa.jpg
PSBP-00014,Plant,Queen's Wreath,Petrea volubilis,primary,Yes,nellmcphillips,cc-by-nc,Yes,OK,© nellmcphillips / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/355460801/large.jpg,https://www.inaturalist.org/observations/201371141,,PSBP-00014_Queens_Wreath.jpg
PSBP-00015,Plant,Coral Bean,Erythrina herbacea,primary,Yes,victoriashein,nan,No,UNUSABLE — all rights reserved,© victoriashein / iNaturalist (NAN),https://static.inaturalist.org/photos/245367488/large.jpg,https://www.inaturalist.org/observations/143081611,,PSBP-00015_Coral_Bean.jpg
PSBP-00016,Plant,Copperleaf,Acalypha wilkesiana,primary,Yes,randall_carter,cc-by-nc,Yes,OK,© randall_carter / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/661589009/large.jpg,https://www.inaturalist.org/observations/362480608,,PSBP-00016_Copperleaf.jpg
PSBP-00018,Plant,Gumbo Limbo,Bursera simaruba,primary,Yes,pammy63,cc-by-nc,Yes,OK,© pammy63 / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/332545422/large.jpg,https://www.inaturalist.org/observations/189778127,,PSBP-00018_Gumbo_Limbo.jpg
PSBP-00019,Plant,Bottle Palm,Hyophorbe lagenicaulis,primary,Yes,randall_carter,cc-by-nc,Yes,OK,© randall_carter / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/661720522/large.jpg,https://www.inaturalist.org/observations/362549055,,PSBP-00019_Bottle_Palm.jpg
PSBP-00020,Plant,Canary Island Date Palm,Phoenix canariensis,primary,Yes,randall_carter,cc-by-nc,Yes,OK,© randall_carter / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/661592924/large.jpg,https://www.inaturalist.org/observations/362482754,,PSBP-00020_Canary_Island_Date_Palm.jpg
PSBP-00021,Plant,Traveller's Palm,Ravenala madagascariensis,primary,Yes,randall_carter,cc-by-nc,Yes,OK,© randall_carter / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/662214871/large.jpg,https://www.inaturalist.org/observations/362810164,,PSBP-00021_Travellers_Palm.jpg
PSBP-00022,Plant,White Bird of Paradise,Strelitzia nicolai,primary,Yes,randall_carter,cc-by-nc,Yes,OK,© randall_carter / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/661614563/large.jpg,https://www.inaturalist.org/observations/362494778,,PSBP-00022_White_Bird_of_Paradise.jpg
PSBP-00023,Plant,Bald Cypress,Taxodium distichum,primary,Yes,coleguyton,cc-by-nc,Yes,OK,© coleguyton / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/635346946/large.jpg,https://www.inaturalist.org/observations/348375438,,PSBP-00023_Bald_Cypress.jpg
PSBP-00024,Plant,Coontie Palm,Zamia integrifolia,primary,Yes,randall_carter,cc-by-nc,Yes,OK,© randall_carter / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/667875500/large.jpg,https://www.inaturalist.org/observations/365792413,,PSBP-00024_Coontie_Palm.jpg
PSBP-00025,Plant,Dahoon Holly,Ilex cassine,primary,Yes,teschaim,cc-by-nc,Yes,OK,© teschaim / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/245520346/large.jpeg,https://www.inaturalist.org/observations/143174057,,PSBP-00025_Dahoon_Holly.jpg
PSBP-00026,Plant,Muhly Grass,Muhlenbergia capillaris,primary,Yes,randall_carter,cc-by-nc,Yes,OK,© randall_carter / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/661604788/large.jpg,https://www.inaturalist.org/observations/362489444,,PSBP-00026_Muhly_Grass.jpg
PSBP-00027,Plant,Live Oak,Quercus virginiana,primary,Yes,randall_carter,cc-by-nc,Yes,OK,© randall_carter / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/661720593/large.jpg,https://www.inaturalist.org/observations/362549109,,PSBP-00027_Live_Oak.jpg
PSBP-00028,Plant,Red Mangrove,Rhizophora mangle,primary,Yes,randall_carter,cc-by-nc,Yes,OK,© randall_carter / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/661605296/large.jpg,https://www.inaturalist.org/observations/362489649,,PSBP-00028_Red_Mangrove.jpg
PSBP-00029,Plant,Alligator Flag,Thalia geniculata,primary,Yes,randall_carter,cc-by-nc,Yes,OK,© randall_carter / iNaturalist (CC-BY-NC),https://inaturalist-open-data.s3.amazonaws.com/photos/667875759/large.jpg,https://www.inaturalist.org/observations/365792529,,PSBP-00029_Alligator_Flag.jpg
