psbp_id,scientific_name,common_name,group,resolved_taxon_id,observations_in_project,photos_total,cc0,cc_by,cc_by_nc,cc_by_sa,cc_by_nd,cc_by_nc_sa,cc_by_nc_nd,all_rights_reserved,usable_total,usable_no_nd,note
PSBP-00001,Crinum asiaticum,Tree Crinum,plant,161124,10,17,0,0,10,0,3,0,0,4,13,10,
PSBP-00002,Melaleuca viminalis,Weeping Bottlebrush,plant,77977,5,8,0,0,8,0,0,0,0,0,8,8,
PSBP-00003,Pseudophoenix sargentii,Buccaneer Palm,plant,167506,0,0,0,0,0,0,0,0,0,0,0,0,no observations of this taxon in project
PSBP-00004,Ceiba speciosa,Silk Floss Tree,plant,154290,2,4,0,0,3,0,0,0,0,1,3,3,
PSBP-00005,Lagerstroemia speciosa,Queen's Crepe Myrtle,plant,133607,6,10,0,0,10,0,0,0,0,0,10,10,
PSBP-00006,Jatropha integerrima,Peregrina,plant,164240,4,7,0,0,6,0,0,0,0,1,6,6,
PSBP-00007,Jacaranda mimosifolia,Jacaranda,plant,77541,1,2,0,0,2,0,0,0,0,0,2,2,
PSBP-00008,Helianthus debilis,Beach Sunflower,plant,126565,4,4,0,0,4,0,0,0,0,0,4,4,
PSBP-00009,Gaillardia pulchella,Firewheel,plant,51768,4,4,0,0,4,0,0,0,0,0,4,4,
PSBP-00010,Cordia sebestena,Geiger Tree,plant,160878,5,11,0,0,11,0,0,0,0,0,11,11,
PSBP-00011,Adansonia digitata,Baobab,plant,81500,4,10,0,0,5,0,0,0,0,5,5,5,
PSBP-00012,Caesalpinia pulcherrima,Dwarf Poinciana,plant,60439,5,10,0,0,4,0,1,0,0,5,5,4,
PSBP-00013,Mimosa strigillosa,Sunshine Mimosa,plant,165400,3,3,0,0,3,0,0,0,0,0,3,3,
PSBP-00014,Petrea volubilis,Queen's Wreath,plant,166546,5,10,0,0,4,0,0,0,0,6,4,4,
PSBP-00015,Erythrina herbacea,Coral Bean,plant,128717,1,3,0,0,0,0,0,0,0,3,0,0,
PSBP-00016,Acalypha wilkesiana,Copperleaf,plant,281562,3,5,0,0,4,0,1,0,0,0,5,4,
PSBP-00017,Acoelorrhaphe wrightii,Paurotis Palm,plant,155598,1,5,0,0,5,0,0,0,0,0,5,5,
PSBP-00018,Bursera simaruba,Gumbo Limbo,plant,130734,2,2,0,0,2,0,0,0,0,0,2,2,
PSBP-00019,Hyophorbe lagenicaulis,Bottle Palm,plant,208797,1,1,0,0,1,0,0,0,0,0,1,1,
PSBP-00020,Phoenix canariensis,Canary Island Date Palm,plant,78554,1,1,0,0,1,0,0,0,0,0,1,1,
PSBP-00021,Ravenala madagascariensis,Traveller's Palm,plant,1311723,2,3,0,0,1,0,0,0,0,2,1,1,
PSBP-00022,Strelitzia nicolai,White Bird of Paradise,plant,135250,2,2,0,0,2,0,0,0,0,0,2,2,
PSBP-00023,Taxodium distichum,Bald Cypress,plant,49666,0,0,0,0,0,0,0,0,0,0,0,0,no observations of this taxon in project
PSBP-00024,Zamia integrifolia,Coontie Palm,plant,135560,0,0,0,0,0,0,0,0,0,0,0,0,no observations of this taxon in project
PSBP-00025,Ilex cassine,Dahoon Holly,plant,164035,3,8,0,0,5,0,0,0,0,3,5,5,
