id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:unique id
4384301,ad7637f6-99f6-47ef-a0e4-9da543e6b934,2013/12/09 8:56 PM EST,2013-12-09,2013-12-10 01:56:00 UTC,Eastern Time (US & Canada),167033,heatherpickard,Heather Pickard,2016-10-18 13:48:35 UTC,2020-03-27 01:10:45 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4384301,https://inaturalist-open-data.s3.amazonaws.com/photos/5260747/medium.jpg,,"Birds, red, Florida, TRAVEL, Bradenton Dec 2013",,1,0,false,,"9800 17th Ave NW, Bradenton, FL 34209, USA",27.513546,-82.660024,93,,,,93,,open,false,,,Northern Cardinal,Cardinalis cardinalis,Northern Cardinal,Aves,9083,
17203507,67099815-9f38-478a-878d-74bed870905b,Thu Oct 04 2018 12:02:29 GMT-0400 (EDT),2018-10-04,2018-10-04 16:02:29 UTC,Eastern Time (US & Canada),851912,ktreffinger,Ken Treffinger,2018-10-05 01:12:23 UTC,2018-10-05 02:17:17 UTC,research,,https://www.inaturalist.org/observations/17203507,https://static.inaturalist.org/photos/26078607/medium.jpg,,"",,1,0,false,3,"1525 99th St NW, Bradenton, FL, US",27.5131458849,-82.6599720508,25,,,,25,,,false,,,Green Heron,Butorides virescens,Green Heron,Aves,5020,
17217419,f100e1fe-9686-4dce-9704-5e807246a7fe,Thu Oct 04 2018 12:11:35 GMT-0400 (EDT),2018-10-04,2018-10-04 16:11:35 UTC,Eastern Time (US & Canada),851912,ktreffinger,Ken Treffinger,2018-10-05 16:13:10 UTC,2026-06-18 04:10:27 UTC,research,,https://www.inaturalist.org/observations/17217419,https://static.inaturalist.org/photos/26104366/medium.jpg,,"",,1,0,false,3,"9800 17th Ave NW, Bradenton, FL, US",27.5138320617,-82.6595575094,43,,,,43,,,false,,,Long-tailed Skipper,Urbanus proteus,Long-tailed Skipper,Insecta,67435,PSBP-99954
17230792,7d4f0250-dfc7-486c-bf70-e0031653a4c5,Thu Oct 04 2018 12:26:32 GMT-0400 (EDT),2018-10-04,2018-10-04 16:26:32 UTC,Eastern Time (US & Canada),851912,ktreffinger,Ken Treffinger,2018-10-05 23:55:57 UTC,2018-10-06 00:33:39 UTC,research,,https://www.inaturalist.org/observations/17230792,https://static.inaturalist.org/photos/26128422/medium.jpg,,"",,1,0,false,3,"9800 17th Ave NW, Bradenton, FL, US",27.5140282666,-82.6601747637,45,,,,45,,,false,,,Eastern Amberwing,Perithemis tenera,Eastern Amberwing,Insecta,59776,
18657798,82c3834d-ece9-4cae-9e96-0127a5ae0a2f,2018/11/12 10:21 AM UTC,2018-11-12,,UTC,1007468,dontenphoto,Jim Donten - Donten Photography,2018-11-26 20:56:41 UTC,2023-03-01 16:22:27 UTC,research,,https://www.inaturalist.org/observations/18657798,https://static.inaturalist.org/photos/28561632/medium.jpeg,,"",,1,0,false,,"Manatee County, FL, USA",27.5135050226,-82.6598131657,8,,,,8,,open,false,,,Double-crested Cormorant,Nannopterum auritum,Double-crested Cormorant,Aves,1454382,
18657799,ab4c0273-aac6-4401-b352-492b183f1186,2018/11/12 10:22 AM UTC,2018-11-12,,UTC,1007468,dontenphoto,Jim Donten - Donten Photography,2018-11-26 20:56:41 UTC,2018-11-27 15:16:55 UTC,research,,https://www.inaturalist.org/observations/18657799,https://static.inaturalist.org/photos/28561638/medium.jpeg,,"",,1,0,false,,"Manatee County, FL, USA",27.5135050226,-82.6598131657,8,,,,8,,open,false,,,Brown Anole,Anolis sagrei,Brown Anole,Reptilia,116461,
18657801,1b08c983-4c05-4921-823d-120b984f0dca,2018/11/12 10:48 AM UTC,2018-11-12,,UTC,1007468,dontenphoto,Jim Donten - Donten Photography,2018-11-26 20:56:41 UTC,2018-12-07 23:28:56 UTC,research,,https://www.inaturalist.org/observations/18657801,https://static.inaturalist.org/photos/28561643/medium.jpeg,,"",,2,0,false,,"Manatee County, FL, USA",27.5135050226,-82.6598131657,8,,,,8,,,false,,,Green Heron,Butorides virescens,Green Heron,Aves,5020,
19674129,6ac68704-8e86-4df6-ba04-b22ea25a3c39,2016/07/07 12:34 PM EDT,2016-07-07,2016-07-07 16:34:00 UTC,Eastern Time (US & Canada),800658,mangoverde,William Hull,2019-01-16 14:05:18 UTC,2023-07-07 04:06:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19674129,https://inaturalist-open-data.s3.amazonaws.com/photos/30302567/medium.jpeg,,"","",1,0,false,,"Manatee County, FL, USA",27.5135044,-82.6599266172,92,,,,92,,,false,,,Roseate Skimmer,Orthemis ferruginea,Roseate Skimmer,Insecta,68233,
19674130,b028dead-9cf5-4339-866c-ae3702ed445d,2016/07/07 12:51 PM EDT,2016-07-07,2016-07-07 16:51:00 UTC,Eastern Time (US & Canada),800658,mangoverde,William Hull,2019-01-16 14:05:18 UTC,2023-07-07 04:06:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19674130,https://inaturalist-open-data.s3.amazonaws.com/photos/30302602/medium.jpeg,,"","",3,0,false,,"Manatee County, FL, USA",27.5135044,-82.6599266172,92,,,,92,,,false,,,Scarlet Skimmer,Crocothemis servilia,Scarlet Skimmer,Insecta,52055,
34220079,356d046d-e4be-4aa8-9e96-43c1cfc043ce,Fri Oct 11 2019 16:26:46 GMT-0400 (EDT),2019-10-11,2019-10-11 20:26:46 UTC,Eastern Time (US & Canada),1117480,natshaf,Natali Shafer,2019-10-11 21:08:53 UTC,2026-06-01 18:52:50 UTC,research,,https://www.inaturalist.org/observations/34220079,https://static.inaturalist.org/photos/53828293/medium.jpg,,"",,1,0,false,3,"17th Ave NW, Bradenton, FL, US",27.5138866667,-82.659095,5,,,,5,,open,false,,,Roseate Spoonbill,Platalea ajaja,Roseate Spoonbill,Aves,62529,
